word	p1	p2	p3	p4	p5	average
address	3	3	2	3	2	2.6
architecture	2	2	0	0	0	0.8
assay	2	0	0	1	2	1
atom	1	0	0	3	0	0.8
baseball	0	0	0	0	0	0
bell	1	1	0	0	0	0.4
brick	1	2	0	1	0	0.8
card	3	3	2	3	1	2.4
ceiling	1	1	0	1	0	0.6
cent	1	1	0	0	0	0.4
chemistry	1	0	0	0	0	0.2
coach	0	1	0	0	0	0.2
compact	3	2	0	1	0	1.2
contact	2	2	0	3	0	1.4
context	1	2	0	0	0	0.6
cost	1	1	0	0	0	0.4
credit	2	2	1	3	1	1.8
crisis	0	1	1	2	0	0.8
curious	0	1	0	1	0	0.4
curtain	0	1	0	1	0	0.4
dare	1	1	0	0	0	0.4
dealer	2	2	0	3	1	1.6
deliver	2	1	0	2	0	1
delivery	2	2	1	1	1	1.4
dining	1	0	0	1	0	0.4
disease	2	1	0	0	0	0.6
disk	3	3	2	3	2	2.6
disorder	0	1	0	0	0	0.2
domain	3	3	3	3	2	2.8
doubt	0	0	0	0	0	0
drug	2	2	0	0	0	0.8
energy	2	1	0	3	1	1.4
environmental	2	2	2	2	1	1.8
excuse	0	1	0	1	0	0.4
extracellular	2	0	0	3	0	1
family	2	1	0	3	0	1.2
federal	1	0	0	2	0	0.6
gain	1	0	0	2	0	0.6
gallery	3	1	0	0	1	1
honour	0	1	0	1	0	0.4
immune	3	1	0	1	0	1
incidence	1	1	0	0	0	0.4
infection	2	1	0	0	0	0.6
jet	2	1	1	3	0	1.4
justice	0	0	0	1	0	0.2
leaf	2	2	0	1	0	1
lift	1	0	0	1	0	0.4
lip	0	0	0	1	0	0.2
maid	1	1	0	2	1	1
martial	2	2	0	1	0	1
maybe	0	1	0	1	0	0.4
mediaeval	0	0	0	1	0	0.2
mirror	3	3	0	1	1	1.6
mobility	3	3	0	3	1	2
mood	1	1	0	1	0	0.6
negligence	0	0	1	0	0	0.2
net	3	3	3	3	3	3
neutron	1	0	0	0	0	0.2
node	3	3	1	2	1	2
novel	0	2	0	3	0	1
nurse	1	1	0	0	0	0.4
optical	3	3	2	3	0	2.2
orange	0	0	0	0	0	0
organism	1	0	0	1	0	0.4
orientation	2	3	0	3	0	1.6
palace	0	1	0	0	0	0.2
parent	1	1	0	1	0	0.6
participate	0	1	0	1	0	0.4
prestige	2	1	0	2	0	1
prize	0	1	0	1	0	0.4
program	3	3	2	3	3	2.8
rabbit	0	1	0	0	0	0.2
refuse	0	0	0	2	2	0.8
replacement	0	1	0	2	0	0.6
romance	1	0	0	1	0	0.4
scene	1	2	0	2	0	1
signal	3	3	0	3	0	1.8
sleep	0	0	0	0	0	0
smoking	2	0	0	2	0	0.8
sphere	0	0	0	2	0	0.4
spine	0	0	0	0	0	0
strategy	0	3	0	1	0	0.8
street	0	0	0	0	0	0
structure	2	2	0	2	0	1.2
substance	2	2	1	1	1	1.3
sulphate	0	0	0	0	0	0
tenure	0	1	0	1	0	0.4
transaction	2	2	2	0	0	1.2
trap	2	1	0	1	0	0.8
upwards	0	2	0	0	0	0.4
user	3	3	3	3	1	2.6
vaccine	0	1	0	0	0	0.2
vector	3	1	0	3	1	1.6
virtual	3	3	2	3	3	2.8
virus	2	0	3	3	2	2
west	2	2	0	1	1	1.2
wine	2	0	0	0	0	0.4
woman	2	1	0	1	0	0.8